 [Yunnan Sourcing](http://yunnansourcing.com/) & [Yunnan Sourcing US](http://www.yunnansourcing.us/store/) | "Fantastic range of teas from Yunnan province, China. Excellent selection of ripe & raw Pu Erh, oolongs, blacks, whites etc.. as well as lesser known teas, such as purple & yak butter!"
[White2Tea](http://white2tea.com/) | "Sells a highly curated selection of self-pressed and some factory puerh. ... Also has a few kinds of higher-end oolong and black tea and some teaware."
[What-Cha](http://what-cha.com/) | "UK-based shop with a large catalogue of quality teas. My favorite thing about What-Cha is the less usual teas they stock, like Georgian-grown teas, or a Japanese dark tea. They have low-priced international shipping and free shipping in the UK."
[Crimson Lotus Tea](http://crimsonlotustea.com/) | "A small start-up devoted to selling self-pressed and some factory puerh to a Western/American market."
[Adagio](http://www.adagio.com/) & [Adagio UK](http://www.adagiotea.co.uk/) | "Sells flavored and unflavored tea of all varieties, including tisanes and even some puerh. Great for samples."
[Taiwan Sourcing](http://taiwanoolongs.com/) | "The Taiwan branch of Yunnan Sourcing. Specializing in high-end Taiwanese oolongs."
[Beautiful Taiwan Tea Co.](http://beautifultaiwantea.com/) | "I would recommend them for good Taiwanese oolongs. Not to mention they ignited my passion for tea."
[Upton Tea](http://www.uptontea.com/) | "Great selection of black teas, good for trying sample sizes of just about any tea you can get your hands on."
[Teavivre](http://teavivre.com/) | "The customer facing branch of Thes and Teas, Teavivre offers a selection of Chinese tea and teaware. Several people here really like their milk oolong."
[Yunomi](http://www.yunomi.life/) | "Japanese, Western-facing shop focused on Japanese tea. Basically has every kind of green tea you can think of. Also has some really great sample deals and teaware, of course."
[Harney & Sons](https://www.harney.com/) | "American tea blender. NY State."
[O-Cha](https://www.o-cha.com/) | "Japanese-based vendor specializing in Japanese tea."
[Camellia Sinensis](http://camellia-sinensis.com/en/) | "Private importation with a seasonal catalog (except for a few classics). Mainly organic and some free-trade. Huge collection of teaware as well."
[Mandala Tea](http://shopmandalatea.com/) | "Unflavored teas, great in house pu'er."
[Whispering Pines](http://whisperingpinestea.com/) | 
[Hibiki-An](http://www.hibiki-an.com/) | "Japanese teas and teaware straight from the farm. Teaware is very high quality from Japanese artisans with plenty of information.  Shipping is fast and because you are buying direct, the teas are particularly high quality for an unusually low price."
[Mountain Tea](http://www.mountaintea.com/) | "They sell Taiwanese oolongs mostly, maintain their own gardens, and have very reasonable prices for very good teas in my experience."
[Eco-Cha](http://eco-cha.com/) | "Specializes in tea from Taiwan."
[Floating Leaves Tea](http://www.floatingleavestea.com/) | "Very good Taiwanese tea selection."
[Yuuki-cha](http://yuuki-cha.com/) | "Japanese organic tea. Not only green - also some japanese black teas and oolongs."
[Hou De Asian Art](http://houdeasianart.com/) | "Some very cool teas here. Occasionally has hard to find tea books. Beautiful tea ware."
[Pu-erh .sk](http://pu-erh.sk/) | "Private label puer productions from various regions, plus aged/semi-aged puer. Some Korean teas when in season. Also offers a wide variety of teaware from many artists. Located in and ships from Slovakia (Europe)"
[Taiwan Tea Crafts](http://www.taiwanteacrafts.com/) | "Taiwan tea seller, huge oolong selection."
[Tea Ave](http://teaave.com/) | "Oolong focus. Gorgeous website and packaging. Canada!"
[Dens Tea](https://www.denstea.com/) | "Japanese green teas imported directly from Japan to California. A subsidiary of the owner's family's [Japanese tea company](http://www.shirakata.co.jp). A nice variety of Japanese teas..."
[Chawangshop](http://www.chawangshop.com/) | "Chawangshop offers a very wide selection of puerh and heicha ... as well as chinese greens, blacks, and oolongs. Their teaware selection is even larger!"
[Red Blossom Tea Co](https://www.redblossomtea.com/) | 
[Lupicia](http://usa.lupicia.com/) | "Known mostly for blends. Many exotic tea flavors, Japanese flavorings."
[Music City Tea](http://www.musiccitytea.com/) | "It's amazing. The owner is super nice and you can tell she really loves to make tea for people."
[Song Tea](https://songtea.com/) | "Taiwanese and Chinese - mostly oolong, green, red. Also some beautiful tea ware."
[Tea Masters Blog](http://www.tea-masters.com/en/) |
[Bana Tea Company](http://banateacompany.com/) | "Curated selection of moderate to high end puerh, mostly. Some good samplers available which is partially what helped me get into puerh. Ships from California. Owner spends a lot of time in China sourcing and continuing education about puerh."
[David's Tea](http://www.davidstea.com/) | "A Canadian company with a diverse selection of teas."
[T Shop NYC](http://www.tshopny.com/) | "Good Taiwanese tea."
[Tea Urchin](http://teaurchin.com/) | 
[Tea Trekker](https://www.teatrekker.com/) | "A great shop out in Northampton, Massachusetts. Decent variety of quality teas and a bunch of very lovely tea ware. The couple that owns the store are also the authors of many books on tea, most notably [The Story of Tea](https://www.teatrekker.com/the-story-of%20tea)."
[Great Horse Teas](http://www.greathorseteas.com/) | "US based, mostly Chinese tea, some scented, floral, and herbal too. Their teas were sourced in person in China."
[Tea Hong](http://teahong.com/) | "Easily one of my favorite vendors. Their Cassia Extraordinaire (traditional Rou Gui) is fantastic."
[Life in a Teacup](http://www.lifeinteacup.com/) | "Chinese teas and decent clay pots."
[Tea Drunk - NYC ](http://tea-drunk.com/) | "Specializes in historically famous terroir sourced teas."
[Thunderbolt Tea](https://www.thunderbolttea.com/) | "specializing in Estate Darjeeling."
[Phoenix Tea](https://www.phoenix-teashop.com/) | "Founded by two tea notables, Virginia 'Cinnabar' Wright and Brett Boynton, who direct-source many of their teas. Known in particular for their Taiwanese oolongs, but also for unusual teas like many varieties of hei cha and orthodox Kenyan teas."
[Teasource](http://www.teasource.com/) | "Voted Best Tea Business at the 2015 World Tea Expo, they have an unusually diverse catalog of tea, from their own flavored blends to high-end orthodox teas. They are also one of the few distributors to carry some versions of hei cha, such as 1000 tael tea logs and tian jian baskets. They are a good balance of price to quality, and a good balance of beginner-friendly to advanced-drinker pleasers. Also they have an great wholesale catalog and excellent customer service."
[Verdant Tea](http://verdanttea.com/) | 
[Little Red Cup Tea](http://littleredcuptea.com/) | "They sell loose leaf, organic, fair trade teas that are sourced directly from southern China. ... their White Peony is amazing, and their Wuyuan Black is my go to everyday tea. Also their Green Eyebrow is awesome!"
[Andrews & Dunham Damn Fine Tea](http://www.damnfinetea.com/) | "Unflavored Black tea blends so robust that'll give you chest hair. Coolest tin and tea names around."
[Shan Valley](http://www.shanvalley.com/) | "has excellent green tea from Myanmar in styles akin to Japanese greens. Very friendly too."
[Tao of Tea](https://taooftea.com/) | "Great prices ... The physical shop is amazing too."
[Tea Guys](http://www.teaguys.com/) | "More know for flavored teas - some really creative teas here too. Maple bourbon tea anyone?"
[Tea Gschwendner](http://shop.tgtea.com/) also [German site](http://www.teegschwendner.de/) | "They are a German company with physical retail locations in Chicago, IL, and around the world. ... I find their loose leaf teas to be of higher quality than other tea shops with retail locations in Chicago... while being similar in price. They sell flavored teas, unflavored teas, rooibos and herbal."
[Bitter Leaf Teas](http://www.bitterleafteas.com/) | Based in Kunming, Yunnan, and specializes in Puer and Yunnan teas. Puerh includes their own pressings as well as some factory cakes and budget friendly offerings.  Some non-puerh teas as well.  Very large selection of teaware."
[Good Life Tea](http://www.goodlifetea.com/) | Their tea shop philosophy: "Relax, Refresh, Rejuvenate."
[Hojo Tea](http://hojotea.com/) |
[Palaise Des Thes](http://us.palaisdesthes.com/) | "French tea company with many blends that I find quite tasty."
[Joseph Wesley Black Tea](http://josephwesleytea.com/) | "Beautiful handmade teaware. High quality black teas. Black tea focus."
[Kettl](http://www.kettl.co/teas/) | "For high quality Japanese tea."
[Green Tea Guru](http://www.greenteaguru.co.uk/) | "UK based. They sell mainly pu-erh, but also a few white, green, oolong and black teas. This is great if you live in Europe and looking for good pu-erh."
[Tealyra](http://www.tealyra.ca/) | "A Canadian vendor that ships all over the world. Some nice Japanese teaware available, and a good selection of teas from all over the world."
[Tea Forte](https://www.teaforte.com/) | "Sells teaware and a large range of teas. Decent quality, decent prices. Many flavored blends as well."
[Imperial Teas of Lincoln](http://www.imperialteas.co.uk/) | "UK based shop that sells extremely high quality teas. ... a selection of fantastic earl greys, ceylon teas, and black tea in general, including darjeelings. Their smoky russian caravan is amazing. They have high quality Oolongs and Greens."
[Tea Makers of London](http://www.theteamakers.co.uk/) | "They offer a huge variety of tea and they provide fast shipping around Europe. I already ordered my Sencha, Oolong and Pu-Erh from their website and they tasted brilliant."
[Argo Tea](http://www.argotea.com/) | "Sells a lot of flavored blends as well as unflavored. Buys their tea directly from growers. They sell some nice teaware too. Pretty small company. They have cafe locations in Chicago and New York City where you can just get a drink if you don't want to buy a whole thing of tea, they also have really good food at these locations and all kinds of crazy tea based drinks, and they'll let you sample anything."
[Thes Du Japon](http://www.thes-du-japon.com/) | "Japanese green tea shipped directly from Japan. Has a very good selection and the prices go from low to really high."
[Dachi Tea Co.](http://www.dachitea.co/) | "I'm addicted to their green oolongs. It is the only store I've gone back and purchased more of the same tea instead of trying other options. Their Sky High Oolong is my absolute favorite tea."
[Teance](http://www.teance.com/) | "A wide selection of Chinese teas. Though I have only had their oolongs, what I have tried were mostly very good."
[Puerhshop](http://puerhshop.com/) | "Puer specialist shop with lots of opportunity to sample before you buy."
[Mellow Monk](http://mellowmonk.com/) | "Specializes in Japanese loose leaf teas."
[Imperial Tea Court](http://www.imperialtea.com/) |
[Shang Tea](http://www.shangtea.com/) | "Excellent white teas"
[Zen Tea Life](http://www.zentealife.com/index.php/) | "Teas by origin and tea ware. Canada!"
